,date,volumeUSD,feesUSD,tvlUSD,txCount,feeTier
48,2021-06-22,269693670.1874632998986575067263709,134846.835093731649949328753363186,42295937.36290996042561029438983715,7611,500.0
49,2021-06-23,256997438.0290915871532489808109381,128498.7190145457935766244904054697,46970149.84731618311472102768855646,6744,500.0
50,2021-06-24,210429606.8791865536819635802649021,105214.8034395932768409817901324511,52396113.34095791662068193884627781,5999,500.0
51,2021-06-25,225477504.081294675809441968877411,112738.7520406473379047209844387049,47073193.50257945331333024124169958,6455,500.0
52,2021-06-26,220192390.9752259925623345579655294,110096.1954876129962811672789827659,49093322.44335905700930621854233047,6827,500.0
53,2021-06-27,225904391.0864427568931641840327538,112952.1955432213784465820920163773,51756200.17823449879989550000237908,5951,500.0
54,2021-06-28,290602115.8007152921126208550120071,145301.0579003576460563104275060075,52567005.26581223372665554931911022,6407,500.0
55,2021-06-29,276821428.7027994919456730387923027,138410.7143513997459728365193961511,56473779.44811169919708328492190498,6474,500.0
56,2021-06-30,276261056.2108546005121875014919448,138130.5281054273002560937507459717,60791538.89935791194359390865089501,5658,500.0
57,2021-07-01,304876051.4293744695127637464516299,152438.0257146872347563818732258105,60348647.41046684573768192202456598,6325,500.0
58,2021-07-02,228483045.8277703266490969644817792,114241.5229138851633245484822408894,64741639.22901358797933891650884522,6943,500.0
59,2021-07-03,183077654.1436780621252296456910319,91538.82707183903106261482284551552,71653713.80923523012620912178499003,6363,500.0
60,2021-07-04,222133610.0616967215274643552335137,111066.8050308483607637321776167565,67815751.134681828308999190313682,9682,500.0
61,2021-07-05,270703668.7940211747570529369006486,135351.8343970105873785264684503244,68305206.28392963569065802532941326,7368,500.0
62,2021-07-06,324239005.2882844759739727340563033,162119.5026441422379869863670281508,69464821.71270692235650475479052945,5428,500.0
63,2021-07-07,247800364.7974209442995632201964408,123900.1823987104721497816100982216,70238411.56079060583489563095328912,4813,500.0
64,2021-07-08,313606213.9595317685873735621445043,156803.1069797658842936867810722521,73819188.95774936648504283555038006,5781,500.0
65,2021-07-09,258756684.4706635943300538729329265,129378.342235331797165026936466462,72344848.7796234697692642740334566,6165,500.0
