date,feesUSD,tvlUSD,volumeUSD,txCount
2021-07-14,2316401.221292112942034956758372574,1629480672.758650946593557391501868,987428048.1491190387140028536975279,2899302
2021-07-15,1952152.442953882793949310634788653,1600395955.292987395874511216701417,969232631.2013742570219482237069905,2958995
2021-07-16,1559541.496178786600899430361501675,1615480003.932892532039967122163934,734441035.5532194282656842769507417,3011540
2021-07-17,1385031.775506164986407109718384653,1638608331.22247747360986822768827,636921813.7667850811743256797718732,3064945
2021-07-18,1389738.013624045246245422217446089,1643137264.377763604328733100267654,652400447.592241158248121666049935,3117404
2021-07-19,1156059.512172251443215679269289462,1595901219.466446950340850828732798,635029274.5382220760037695251841166,3165434
2021-07-20,1479642.733381921855174932151256093,1564039792.949434126438057466347763,845536136.21977563657472315294943,3218873
2021-07-21,1857692.296324841173754020301125981,1687535976.951018984148746857435301,1127174816.290316300707356369352256,3269570
2021-07-22,1450374.758158413069398735525924403,1732731443.058675923557338046720404,915603973.5899873017481597614544783,3313902
2021-07-23,1307863.724844787602828810542319877,1805191986.30611358463524977858776,747662479.5422829893773252542971424,3363555
2021-07-24,1260441.447363980262558701858986402,1763845106.915799432266470046037769,715038866.3852050254372037653638282,3414508
2021-07-25,994159.6329138105338547079271855656,1772074306.81363817753035015126302,623545004.662714058560532477576042,3458826
2021-07-26,3084009.453943580620079203253864923,1817246997.109542302683283202021587,1953222068.98336095248361329040587,3519398
2021-07-27,1920965.34852899281342533197494391,1854889319.557642970301129852479541,1276923887.503029471824526838712898,3566661
2021-07-28,1999398.660144740894928891938068097,1897291447.247549897778094728394812,1226191983.063871881793015427144997,3613458
2021-07-29,1489241.51570051178810669670780743,1944165400.825279949477904918909655,777612090.7470958478501238033742414,3662382
2021-07-30,1791243.549464928031723604939686414,1984159089.396144935395082152955162,1064389728.092196957668964140574324,3710631
2021-07-31,1323083.127675171390894653604729569,1988772254.62272296927358722744768,737560577.5320761572718932576027278,3758185
2021-08-01,1832437.991877773721823477522398111,1963474508.745944363979586763354334,1060017269.59884910334589148901,3809575
2021-08-02,1782533.275500762698968052284122022,2089837086.819652804555125268723345,1084713586.747025600976027772136973,3854630
2021-08-03,2090683.982671042024606406915693784,2047221188.54691993469220443694952,1339617281.433678223407919201963944,3900120
2021-08-04,2334079.626657239537719186293021919,2161609360.24905796023821917252396,1522565099.918623355972310924876707,3948227
2021-08-05,2707160.493366323170473285831070138,2167029571.405884907218540443744698,1672804767.740326232792024985948402,3992764
2021-08-06,2208947.575018471495537333024771935,2285512924.046702995313994448872879,1352187905.335184411932533701417576,4037155
2021-08-07,3168748.205585386740339354049731753,2396832402.757417901583350633143854,1799607570.370152635694487179533354,4086126
2021-08-08,2531215.792965628260689921697556497,2368448289.893080688751355732745195,1540454447.547314051136816761145374,4132770
2021-08-09,3623955.93204461037810312589573397,2322327257.925914373021086028584096,2153316158.406231242479979475614189,4180260
2021-08-10,2351020.200189500769262998268411723,2321948342.669566862933770748611626,1416214344.428885751814644230191917,4219973
2021-08-11,2241105.505653445902146561267623299,2365094775.996061227249249598586696,1198606100.887490450099444312200805,4261370
2021-08-12,2496447.487676405879357607026824169,2332683229.397194019773406793464353,1469815976.70284231241329335443893,4302504
2021-08-13,1887500.790368521110642075996771874,2453012046.274338640756298589922375,1059076704.129065582276110446977008,4339511
2021-08-14,1607098.488255433931176181295904258,2566870281.813042667846219632138304,801451005.1675251669074142579664553,4377834
2021-08-15,1854497.026575074371656479081397072,2601822137.499999440699627697667634,1072489835.282876655766500872477409,4413389
2021-08-16,2151420.69846976680003382737093148,2537327846.451189012128687237173228,1279179213.047249583522577026623013,4452584
2021-08-17,3056121.834540592073384041505753113,2483283250.813795560343228605061109,1902576658.267022954297219138641923,4499378
2021-08-18,2956640.563897571531699270602196423,2504878084.901261002188553757976812,1645149260.997896165196895582583683,4550782
2021-08-19,2169526.694474620914844905525380527,2639723072.324648330183171054481624,1269223156.985786549161323796732915,4597700
2021-08-20,2047581.996384466358970819299592579,2800909989.624516762271769120625462,1199528398.899775521839064339516574,4644944
2021-08-21,1626437.311521599606316104591447873,2834790033.649683903422127595845799,895169750.8810850645196041487918172,4688711
